NPDB_ID,NPDB_mm,SMILES
NP_19978,616.324748,C=CC(=C)C(CC1(C)C(C)CC(O)C23C(=CC(OC(=O)C=CC=CCCCCC)CC12)C(OC(C)=O)OC3OC(C)=O)OO
NP_175044,616.31217,CC[NH+]1CC2(OC)CCC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14
NP_131784,616.31485,CCCC(=O)OCC12CCC(=C(C)C)C1C(OC(=O)c1cccnc1)CC1(C)OC1CCC(C)=CC2OC(=O)c1cccnc1
NP_84767,616.32475,CC1=C(C)C(=O)OC(C2(C)OC34CCC2C3(C)CCC2C4CC=C3CC(OC4OC(CO)C(O)C(O)C4O)CC(=O)C32C)C1
NP_108183,616.3247477359998,CC=CC=C(C)C(=O)OC1C(O)C(OCC23CC4C(C)CCC4C4(C=O)CC2C=C(C(C)C)C43C(=O)O)OC(CO)C1OC
NP_112180,616.337319,CCC(C)C(N)C(O)=NC(CC(C)C)C(O)=NC(Cc1c[nH]c2ccccc12)C(O)=NC(Cc1c[nH]c2ccccc12)C(=O)O
NP_17368,616.32475,C=C1CCC2(C)CCC3(C)C4C(OC(C)=O)CC5(COC(C)=O)C(C)OC(=O)C6OC6C5C4(C)CCC3(C(=O)OC)C2(O)C1
NP_85335,616.3247,CC1=C(COC2OC(CO)C(O)C(O)C2O)C(=O)OC(C(CO)C2CCC3C4CC=C5CC=CC(=O)C5(C)C4CCC23C)C1
NP_60847,616.33598,CC(C)CC(NC(=O)CCC(=O)OC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3)C(=O)NCCc1ccc(O)cc1
NP_87284,616.326085128,CC1=CC(C)C(C)OC(=O)CC(c2ccc(O)cc2)NC(=O)C(Cc2c[nH]c3ccccc23)N(C)C(=O)C(C)NC(=O)C(C)C1
NP_111705,616.32475,CCC(C)C(=O)OC1CCC(C)(O)C23OC(C)(C)C(CC(OC(=O)c4ccccc4)C12COC(C)=O)C3OC(=O)C(C)CC
NP_63935,616.34477,CC(C)N=C(O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)CCC(F)(F)F)OCCCCC(C)O2
NP_276230,616.337318508,N=C(N)N1CC=C(CCNC(=O)C2CC3CCC(O)CC3N2C(=O)C(Cc2ccccc2)NC(=O)C(O)Cc2ccccc2)C1
NP_111463,616.32475,CCC(C)C(=O)OC1C(O)C2C(C)(C3=CCC(c4ccoc4)C31C)C(O)CC1C(C)(C(=O)OC)C(O)CC(OC(C)=O)C12C
NP_201834,616.3220623679999,COCC(=O)NC(C(=O)N1N=CCCC1C(=O)NC(Cc1ccccc1)C(O)C(C)C(=O)NC1CCNC1=O)C(O)C(C)C
NP_281090,599.30139,NCC1OC(OC2C(CO)OC(OC3CC(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O
NP_40000,599.30943,CC(=O)OC1CC2C(O)C=C3CC(C)(C(=O)C(O)C(=C1C)C2(C)C)C(O)CC3OC(=O)C([O-])C(c1ccccc1)[NH+](C)C
NP_177174,599.3103,CCc1ccc2cc1NC(C(C)O)CSSCC1CC3(CCC4CC5C6C(=O)CC(OC)C6(O)C4(C)C53C)CC1C2
NP_231257,599.31211,COc1ccc(C(C2=C([O-])CC(C)(C)CC2=O)C2=C([O-])CC(C)(C)CC2=O)cc1C[NH+]1CC2CC(C1)c1cccc(=O)n1C2
NP_48552,599.293011,CC(C)(C)S(=O)N1Cc2cc(C(=O)NCCN3CCCCC3)nc(-c3cccc(-c4ccc(C#N)cc4)c3)c2C1CCO
NP_281085,599.301387,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)CC3N)C2O)C(N)C(O)C1O
NP_188766,599.30943,COC(=O)C1CCCN1C(=O)CCC(=O)OCC(=O)C1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
NP_208758,599.2883,COc1c2c(cc3c1C(c1cc4cc(C)ccc4n(CC(C)C)c1=O)CC(=O)O3)C=CCCCC(=O)CCCC(C)OC2=O
NP_39999,599.30943,CC(=O)OC1CC2C(O)C=C3CC(C)(C(=O)C(O)C(=C1C)C2(C)C)C(O)CC3OC(=O)C(O)C(c1ccccc1)N(C)C
NP_118513,599.2859333019,CCC1C=CC(=O)OC1C=CC(O)(CCN)C(CC(O)C=CC=CC1CCCC(OC(=O)C(C)C)C1)OP(=O)(O)O
NP_48553,599.293011,CC(C)(C)S(=O)N1Cc2cc(C(=O)NCCN3CCCCC3)nc(-c3cccc(-c4cccc(C#N)c4)c3)c2C1CCO
